"시도별","지출목적별",2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
"전국","남자의류",100.70,101.40,102.68,101.91,101.23,100.00,98.334,95.175,91.607,86.933
"전국","남자외의",103.93,103.61,103.06,101.98,101.49,100.00,95.898,91.986,87.328,82.471
"전국","남자상의",102.57,102.47,101.53,103.04,102.02,100.00,100.311,96.461,94.370,93.124
"전국","남자학생복",44.86,65.86,105.37,100.44,95.59,100.00,119.800,121.526,117.254,105.196
"전국","남자하의",103.32,103.14,102.66,101.92,101.71,100.00,95.636,91.462,89.354,84.738
"전국","남자내의",101.41,100.81,100.36,100.37,100.41,100.00,99.430,99.097,98.024,93.852
"전국","여자의류",105.74,104.48,105.48,104.11,102.85,100.00,99.795,94.545,92.073,88.387
"전국","여자외의",109.91,107.47,107.49,105.24,104.18,100.00,99.574,93.463,91.162,87.881
"전국","원피스",105.41,105.41,105.98,102.94,101.00,100.00,97.269,96.157,94.274,88.560
"전국","여자상의",100.08,100.08,100.93,102.44,101.60,100.00,98.245,92.943,90.887,88.238
"전국","여자학생복",46.50,67.50,104.56,100.07,95.91,100.00,119.488,121.314,117.557,104.916
"전국","여자하의",108.53,104.75,104.76,105.28,103.41,100.00,98.662,91.465,87.863,84.700
"전국","여자내의",105.77,105.33,104.54,102.58,102.45,100.00,98.308,96.700,95.324,92.185
"전국","캐쥬얼의류",105.53,103.88,101.92,101.16,100.58,100.00,97.643,93.268,89.391,85.301
"전국","점퍼",106.39,105.09,101.61,100.33,100.04,100.00,98.201,91.853,89.468,88.106
"전국","티셔츠",105.98,102.54,102.20,102.19,101.35,100.00,97.943,95.035,92.733,87.882
"전국","스웨터",110.19,105.79,104.91,104.91,104.84,100.00,98.918,98.898,98.883,96.141
"전국","청바지",104.46,102.70,100.00,100.00,100.00,100.00,96.574,95.889,85.732,82.066
"전국","운동복",103.28,103.39,102.87,102.07,99.82,100.00,96.395,89.514,82.425,75.796
"전국","등산복",101.66,102.14,102.21,100.43,100.43,100.00,97.867,94.644,93.052,91.632
"전국","아동복 · 유아복",102.34,104.35,105.86,105.44,101.98,100.00,98.804,96.560,91.843,86.269
"전국","아동복",104.01,105.07,106.63,105.90,102.12,100.00,98.686,96.857,91.375,85.844
"전국","유아복",96.55,102.03,103.32,104.06,101.54,100.00,99.149,95.646,93.266,87.567
"전국","기타의류 및 의류 장신구",101.92,102.13,102.51,101.56,101.33,100.00,98.952,97.740,96.877,94.212
"전국","양말",99.58,99.09,99.12,99.51,99.41,100.00,99.777,98.746,98.097,95.476
"전국","모자",106.47,108.41,110.93,106.44,105.89,100.00,97.059,97.059,97.059,97.059
"전국","넥타이",100.44,100.44,100.35,100.30,100.05,100.00,100.000,93.528,89.199,86.512
"전국","장갑",103.82,103.97,101.46,100.98,100.95,100.00,98.595,98.379,97.424,89.848
